,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
0,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0015.txt,15,4612,-2804,553,-585,8,0,203,-85,700,-842,645,25,214,3,267,0,96,7,0,0,0,84,0
1,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0030.txt,30,3713,-899,513,-40,8,0,188,-15,641,-59,528,22,181,3,340,1,94,7,1,1,0,89,0
2,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0045.txt,45,7579,3866,505,-8,8,0,259,71,1965,1324,1010,31,370,7,1679,0,183,6,0,0,0,159,0
3,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0100.txt,100,2923,-4656,571,66,8,0,179,-80,448,-1517,436,19,152,2,314,1,105,8,1,1,0,91,0
4,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0115.txt,115,3601,678,618,47,8,0,180,1,565,117,527,23,177,3,377,0,113,7,0,0,0,98,0
5,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0130.txt,130,7600,3999,635,17,7,-1,338,158,2336,1771,1176,24,725,7,2203,0,283,6,0,0,0,251,0
6,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0145.txt,145,4132,-3468,292,-343,7,0,234,-104,955,-1381,632,18,271,4,721,0,172,6,0,0,0,128,0
7,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0200.txt,200,5878,1746,2495,2203,8,1,226,-8,1382,427,1046,37,307,5,1210,0,166,8,0,0,1,134,0
8,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0215.txt,215,3134,-2744,408,-2087,8,0,176,-50,579,-803,442,20,169,3,456,19,121,6,1,3,0,91,1
9,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0230.txt,230,285338,282204,9877,9469,8,0,17149,16973,127845,127266,36901,17,19037,7,127159,319,17005,8,27,4,0,17031,1
10,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0245.txt,245,422378,137040,32598,22721,8,0,15536,-1613,144389,16544,56872,29,18598,8,143449,66,13379,7,6,3,0,1725,1
11,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0300.txt,300,82151,-340227,8617,-23981,8,0,2481,-13055,17943,-126446,11346,36,3049,7,17690,0,2405,8,0,0,0,839,1
12,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0315.txt,315,89862,7711,9540,923,8,0,3398,917,33017,15074,12425,29,5125,9,32611,9,3301,8,1,1,0,2164,0
13,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0330.txt,330,53998,-35864,2355,-7185,8,0,2661,-737,16529,-16488,7044,21,3028,6,16291,5,2602,8,3,2,0,1838,0
14,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0345.txt,345,5063,-48935,1217,-1138,8,0,304,-2357,1618,-14911,785,20,341,5,1504,0,261,7,0,0,0,142,0
15,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0400.txt,400,28504,23441,1540,323,8,0,3045,2741,24467,22849,3755,9,3211,8,24341,0,2996,8,0,0,0,2896,0
16,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0415.txt,415,5302,-23202,990,-550,8,0,333,-2712,1704,-22763,786,18,416,5,1583,0,288,7,0,0,0,206,0
17,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0430.txt,430,5483,181,502,-488,8,0,245,-88,1978,274,748,24,378,8,1852,0,195,7,0,0,0,128,0
18,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0445.txt,445,6884,1401,1228,726,8,0,296,51,1242,-736,1014,27,415,4,1138,0,241,7,0,0,0,205,0
19,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0500.txt,500,8770,1886,790,-438,8,0,287,-9,2001,759,1195,33,597,7,1918,0,235,8,0,0,0,170,0
20,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0515.txt,515,5621,-3149,1043,253,8,0,336,49,1720,-281,833,19,386,5,1511,66,278,8,3,3,0,235,0
21,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0530.txt,530,5471,-150,1201,158,8,0,227,-109,1741,21,834,29,423,7,1541,0,173,8,0,0,0,118,0
22,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0600.txt,600,15570,10099,2077,876,8,0,489,262,3505,1764,2205,36,915,7,3413,18,447,8,1,1,0,402,0
23,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0630.txt,630,16301,731,712,-1365,8,0,797,308,5144,1639,2126,21,947,6,5041,6,752,8,2,2,0,591,0
24,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0700.txt,700,32448,16147,1098,386,7,-1,2341,1544,17337,12193,4792,14,2833,7,17187,5,2293,7,2,1,0,2118,0
25,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0730.txt,730,9357,-23091,1028,-70,8,1,391,-1950,2587,-14750,1298,26,798,6,2428,1,345,8,1,1,1,235,0
26,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0800.txt,800,16024,6667,2073,1045,8,0,477,86,4372,1785,2262,37,988,8,4303,0,414,7,0,0,0,367,0
27,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0830.txt,830,9099,-6925,1236,-837,8,0,312,-165,3132,-1240,1291,33,633,8,2989,19,268,7,2,2,0,140,0
28,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0900.txt,900,34608,25509,1157,-79,8,0,2996,2684,22055,18923,4470,11,3138,7,21752,10,2943,8,4,3,0,2874,0
29,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.0930.txt,930,65970,31362,1567,410,8,0,8017,5021,56356,34301,8442,8,7535,7,55735,70,7939,8,7,2,0,7452,0
30,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1000.txt,1000,7481,-58489,997,-570,8,0,288,-7729,1376,-54980,1059,29,406,4,1249,1,240,8,1,1,0,110,0
31,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1030.txt,1030,9666,2185,1099,102,8,0,335,47,3144,1768,1345,32,689,9,3021,2,286,7,1,1,0,234,0
32,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1100.txt,1100,4810,-4856,741,-358,8,0,301,-34,1109,-2035,693,18,322,3,989,0,249,7,0,0,0,188,0
33,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1130.txt,1130,18229,13419,1344,603,7,-1,2762,2461,11750,10641,2796,7,1991,4,11215,2,2669,7,2,1,0,2642,0
34,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1200.txt,1200,9731,-8498,1271,-73,8,1,455,-2307,2653,-9097,1375,24,626,5,2530,2,400,7,1,2,1,319,0
35,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1230.txt,1230,15747,6016,659,-612,8,0,1515,1060,10711,8058,2050,10,1567,7,10617,1,1463,7,1,1,0,1388,0
36,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1300.txt,1300,6485,-9262,1145,486,8,0,362,-1153,981,-9730,953,21,336,2,883,0,316,7,0,0,0,226,0
37,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1330.txt,1330,19613,13128,6241,5096,8,0,368,6,2180,1199,3231,70,932,5,2063,4,326,7,1,2,0,241,0
38,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1400.txt,1400,6128,-13485,961,-5280,8,0,292,-76,1112,-1068,886,24,359,3,1041,1,244,7,1,1,0,186,0
